,CellType,Method,DataType,Tissue,CCC,L1error
283,natural killer cell,Bisque,counts2umi,Lung,0.6190254327947748,0.06690524753359404
284,stromal cell,Bisque,counts2umi,Lung,0.6105158860401046,0.08249489687342194
285,B cell,Bisque,umi2counts,Lung,0.32989179946452163,0.11142865291541942
286,T cell,Bisque,umi2counts,Lung,0.5255881541643744,0.08913128377367291
287,ciliated columnar cell of tracheobronchial tree,Bisque,umi2counts,Lung,0.6170300789229731,0.07764844895081961
288,classical monocyte,Bisque,umi2counts,Lung,0.6811855456203276,0.08106380395086955
289,leukocyte,Bisque,umi2counts,Lung,0.5762678869713191,0.09337753821273614
290,lung endothelial cell,Bisque,umi2counts,Lung,0.5216312459604896,0.07977636579046811
291,myeloid cell,Bisque,umi2counts,Lung,0.2966748329903067,0.12591707538551292
292,natural killer cell,Bisque,umi2counts,Lung,0.7172421268768535,0.07726613822124309
293,stromal cell,Bisque,umi2counts,Lung,0.3627366757915645,0.10189239333552039
294,basophil,Bisque,counts2umi,Marrow,0.7072327212093311,0.09450628420712544
295,granulocyte,Bisque,counts2umi,Marrow,0.7339295172319479,0.09007072421303125
296,hematopoietic precursor cell,Bisque,counts2umi,Marrow,0.1821336934271977,0.13430900550400873
297,immature B cell,Bisque,counts2umi,Marrow,0.4191329651831835,0.11078114017894868
298,late pro-B cell,Bisque,counts2umi,Marrow,0.4665857183276455,0.12636300419954127
299,macrophage,Bisque,counts2umi,Marrow,0.3753424267921086,0.14603250931007777
300,monocyte,Bisque,counts2umi,Marrow,0.6748914838316654,0.1017516165093767
301,basophil,Bisque,umi2counts,Marrow,-0.09332153185365537,0.16098010398806437
302,granulocyte,Bisque,umi2counts,Marrow,0.02468424126373395,0.16209521090044673
303,hematopoietic precursor cell,Bisque,umi2counts,Marrow,0.22959893869474632,0.11380039900987372
304,immature B cell,Bisque,umi2counts,Marrow,0.07202819221106403,0.15870595288122083
305,late pro-B cell,Bisque,umi2counts,Marrow,-0.21994161235568035,0.1614027374392479
306,macrophage,Bisque,umi2counts,Marrow,-0.07397318773510408,0.13837313609739246
307,monocyte,Bisque,umi2counts,Marrow,-0.1208180264249962,0.14913853701428725
